"V1","V2","V3"
"From","To","Rank"
"Item01","Item02","1"
"Item04","Item05","1"
"Item01","Item02","2"
"Item02","Item03","2"
"Item04","Item05","2"
"Item08","Item09","2"
"Item08","Item10","2"
"Item09","Item10","2"
"Item08","Item11","2"
"Item01","Item02","3"
"Item02","Item03","3"
"Item04","Item05","3"
"Item08","Item09","3"
"Item08","Item10","3"
"Item09","Item10","3"
"Item08","Item11","3"
"Item02","Item03","4"
"Item04","Item06","4"
"Item04","Item07","4"
"Item05","Item06","4"
"Item05","Item07","4"
"Item08","Item10","4"
"Item08","Item11","4"
"Item09","Item11","4"
"Item02","Item03","5"
"Item04","Item06","5"
"Item04","Item07","5"
"Item05","Item06","5"
"Item05","Item07","5"
"Item09","Item11","5"
"Item10","Item11","5"
"Item10","Item12","5"
